Tabla:`azpr-tdata-mx-fin-8303.cur_store_development_setup.xs__tstore`

Estructura:

table_name	column_name	data_type	is_nullable
xs__tstore	store	INT64	YES
xs__tstore	cust_num	INT64	YES
xs__tstore	store_delete	STRING	YES
xs__tstore	store_name	STRING	YES
xs__tstore	store_address	STRING	YES
xs__tstore	city	STRING	YES
xs__tstore	state	STRING	YES
xs__tstore	zip_code	INT64	YES
xs__tstore	volume	STRING	YES
xs__tstore	man_form	STRING	YES
xs__tstore	retail_zone	INT64	YES
xs__tstore	cost_code	STRING	YES
xs__tstore	cost_rate	NUMERIC	YES
xs__tstore	route1	INT64	YES
xs__tstore	route2	INT64	YES
xs__tstore	route3	INT64	YES
xs__tstore	supply_tax_rate	NUMERIC	YES
xs__tstore	wkday_ship_method	STRING	YES
xs__tstore	wkend_ship_method	STRING	YES
xs__tstore	store_phone	INT64	YES
xs__tstore	data_line	INT64	YES
xs__tstore	pri_whse	STRING	YES
xs__tstore	sec_whse	STRING	YES
xs__tstore	tax_rate1	NUMERIC	YES
xs__tstore	tax_rate2	NUMERIC	YES
xs__tstore	tax_rate3	NUMERIC	YES
xs__tstore	setup_date	TIMESTAMP	YES
xs__tstore	last_date_changed	TIMESTAMP	YES
xs__tstore	pri_adi	INT64	YES
xs__tstore	sec_adi	INT64	YES
xs__tstore	scan_store	STRING	YES
xs__tstore	new_shelf	STRING	YES
xs__tstore	price_remove	STRING	YES
xs__tstore	supervisor	INT64	YES
xs__tstore	order_access_codes	STRING	YES
xs__tstore	ret_pend_date	TIMESTAMP	YES
xs__tstore	pend_zone	INT64	YES
xs__tstore	open_code	STRING	YES
xs__tstore	delete_date	TIMESTAMP	YES
xs__tstore	audit_flag	STRING	YES
xs__tstore	store_type	STRING	YES
xs__tstore	order_book_cnt	INT64	YES
xs__tstore	xp_base_ret_zone	INT64	YES
xs__tstore	xp_pend_ret_zone	INT64	YES
xs__tstore	xp_pend_ret_date	TIMESTAMP	YES
xs__tstore	sir_flag	STRING	YES
xs__tstore	climate_code	STRING	YES
xs__tstore	end_caps	INT64	YES
xs__tstore	order_days	STRING	YES
xs__tstore	date_opened	TIMESTAMP	YES
xs__tstore	period_opened	INT64	YES
xs__tstore	district	INT64	YES
xs__tstore	sales_user_loc	STRING	YES
xs__tstore	store_size_actual	INT64	YES
xs__tstore	store_entry	STRING	YES
xs__tstore	xp_order_days	STRING	YES
xs__tstore	xp_delivery_days	STRING	YES
xs__tstore	fiscal_year_open	INT64	YES
xs__tstore	open_order_date	TIMESTAMP	YES
xs__tstore	tax_vector1	STRING	YES
xs__tstore	tax_vector2	STRING	YES
xs__tstore	tax_vector3	STRING	YES
xs__tstore	samestore_flag	STRING	YES
xs__tstore	sales_report_flag	STRING	YES
xs__tstore	store_proto_type	STRING	YES
xs__tstore	building_color	STRING	YES
xs__tstore	building_type	STRING	YES
xs__tstore	loading_dock	STRING	YES
xs__tstore	ceiling_type	STRING	YES
xs__tstore	floor_type	STRING	YES
xs__tstore	bathrooms	INT64	YES
xs__tstore	window_display	STRING	YES
xs__tstore	window_signs	STRING	YES
xs__tstore	hanging_signs	STRING	YES
xs__tstore	pole_sign	STRING	YES
xs__tstore	neon_sign	STRING	YES
xs__tstore	manager_office	INT64	YES
xs__tstore	electronic_catalog	INT64	YES
xs__tstore	cash_registers	INT64	YES
xs__tstore	omoron_machines	INT64	YES
xs__tstore	customer_entrances	INT64	YES
xs__tstore	emergency_exit	INT64	YES
xs__tstore	park_lot_entrances	INT64	YES
xs__tstore	parking_spaces	INT64	YES
xs__tstore	delivery_days	STRING	YES
xs__tstore	time_zone	STRING	YES
xs__tstore	reg_store_open_hr	INT64	YES
xs__tstore	reg_store_close_hr	INT64	YES
xs__tstore	sun_store_open_hr	INT64	YES
xs__tstore	sun_store_close_hr	INT64	YES
xs__tstore	sunday_hours	STRING	YES
xs__tstore	telephone_lines	INT64	YES
xs__tstore	wall_fix_2ft	INT64	YES
